Language,Latitude,Longitude,Divisions(Each Language),Teachers,School Code,School Name,School Type,Slno,Standards,Strength(Each Language),School Type
"MALAYALAM,ENGLISH",10.063389,76.215828,"5,4",10,26528,St. Joseph`s L.P.S. Wadal Nayarambalam,A,159,1 to 5,"96,134",LP
"MALAYALAM,ENGLISH",10.166948,76.180956,"20,9",46,26006,St. Mary`s H.S.Palliport,A,160,1 to 10,"635,261",HS
"MALAYALAM,ENGLISH",10.048539,76.220205,"17,12",41,26537,St. Mary`s U.P.S. Njarakkal,A,161,1 to 7,"413,723",UP
"MALAYALAM,ENGLISH",10.114484,76.201074,"14,10",38,26086,St. Augustin`s G.H.S. Kuzhippilly,A,162,5 to 10,"640,506",HS
MALAYALAM,10.14858,76.189971,4,4,26505,St. George`s. L.P.S. Chakkarakadavu,A,163,1 to 4,65,LP
MALAYALAM,10.114781,76.200669,9,19,26535,St. Gregory`s U.P.S. Kuzhuppilly,A,164,1 to 7,286,UP
MALAYALAM,10.124922,76.202601,4,4,26518,St. John`s .L.P.S. Manappilly,A,165,1 to 4,87,LP
MALAYALAM,10.181716,76.174894,4,5,26519,St. Joseph`s .L.P.S. Munambam,A,166,1 to 4,108,LP
MALAYALAM,10.026167,76.232218,4,4,26513,St. Joseph`s .L.P.S. Karthedam,A,167,1 to 4,45,LP
MALAYALAM,10.01105,76.232261,4,4,26525,St. Mary`s .L.P.S. Ochanthuruth,A,168,1 to 4,35,LP
MALAYALAM,10.001188,76.238688,4,5,26514,St. Peter`s .L.P.S Kurisingal,A,169,1 to 4,45,LP
MALAYALAM,10.159574,76.185668,4,4,26527,St. Rocky`s L.P.S. Pallipuram,A,170,1 to 4,61,LP
MALAYALAM,10.055568,76.226724,7,10,26538,Union U.P.S. Nedungadu,A,171,1 to 7,114,UP
"MALAYALAM,ENGLISH",10.12208,76.201089,"4,4",8,26509,Vinjana Dhayini Sabha L.P.S. Cheruvaipu,A,172,1 to 4,"97,115",LP
MALAYALAM,10.13307,76.194997,4,5,26506,Vinjana Vardhini Sabha .L.P.S. Cherai,A,173,1 to 4,121,LP
"MALAYALAM,ENGLISH",10.087941,76.416142,"270,119",24,25073,Govt. H. S. S. South Vazhakulam,G,174,5 to 10,"389,301",HS
"MALAYALAM,ENGLISH",10.108065,76.41245,"5,3",19,25006,N. I. V. H. S. S. Marampilly,A,175,8 to 10,"194,69",HS
"MALAYALAM,ENGLISH",9.90695,76.306069,"7,6",15,26255,St. Mary`s U.PS Kumbalam,A,176,1 to 7,"160,166",UP
"MALAYALAM,ENGLISH",10.043956,76.22106,"16,6",39,26053,Little Flower H.S. Njarakkal,A,177,8 to 10,"503,259",HS
MALAYALAM,9.987816,76.240047,4,5,26520,St. Mary`s .L.P.S Murikkumpadam,A,178,1 to 4,81,LP
"MALAYALAM,ENGLISH",10.12083,76.434979,"6,3",13,27213,Al Mubarak UPS Pallipuram,A,179,5 to 7,"143,138",UP
"MALAYALAM,ENGLISH",10.004983,76.486055,"5,3",17,28019,M R S V H S S Mazhuvannoor,A,180,8 to 10,"172,83",HS
MALAYALAM,10.076429,76.478043,4,5,27234,Govt. LPGS Vengola,G,181,1 to 4,23,LP
MALAYALAM,10.087095,76.415851,4,6,27233,Govt. LPS South Vazhakulam,G,182,1 to 4,106,LP
MALAYALAM,10.107711,76.416804,7,11,27207,Govt. UPS North Vazhakulam,G,183,1 to 7,156,UP
MALAYALAM,10.073292,76.447371,4,5,27251,Mar Thoma LPS Vengola,A,184,1 to 4,81,LP
MALAYALAM,10.073524,76.448203,10,20,27016,Salem High School West Vengola,A,185,5 to 10,343,HS
"MALAYALAM,ENGLISH",10.119234,76.403105,"8,4",14,25220,Darusalam L. P. S. Chalakkal,A,186,1 to 4,"244,213",LP
"MALAYALAM,ENGLISH",10.119897,76.388306,"10,4",23,25004,Govt. H. S. Kuttamassery,G,187,1 to 10,"231,101",HS
MALAYALAM,10.069323,76.390171,13,24,25003,Govt. H. S. S. Edathala,G,188,1 to 10,246,HS
MALAYALAM,10.085818,76.424925,15,25,25074,Govt. H. S. S. South Ezhippuram,G,189,1 to 10,384,HS
